State,NumGrants,Funding 
Alabama,11,5598250
Alaska,0,0
Arizona,7,4049500
Arkansas,0,0
California,91,50083500
Colorado,17,9395500
Connecticut,26,9727500
Delaware,1,792000
District of Columbia,4,1844000
Florida,18,10045250
Georgia,11,6218500
Hawaii,0,0
Idaho,0,0
Illinois,30,16424000
Indiana,13,7754000
Iowa,3,1182000
Kansas,5,2625500
Kentucky,10,4497500
Louisiana,1,791000
Maine,2,955500
Maryland,17,12379500
Massachusetts,92,44078128
Michigan,22,11787750
Minnesota,17,8628500
Mississippi,0,0
Missouri,15,8644500
Montana,0,0
Nebraska,1,180000
Nevada,0,0
New Hampshire,3,1944000
New Jersey,6,3084500
New Mexico,5,2881000
New York,64,32630752
North Carolina,32,15695000
North Dakota,0,0
Ohio,25,17600261
Oklahoma,2,1521000
Oregon,11,7273250
Pennsylvania,46,30748750
Puerto Rico,0,0
Rhode Island,1,719000
South Carolina,8,5303000
South Dakota,0,0
Tennessee,17,10675000
Texas,61,40461619
Utah,10,5145500
Vermont,0,0
Virginia,15,9438500
Washington,15,0
West Virginia,0,8600000
Wisconsin,14,8600000
Wyoming,1,792000
